Sample,Detector,Ct,Plate
NTC,ActinB,,1
Rys cDNA 10x,ActinB,19.428925,1
Rys cDNA 10x,ActinB,19.515253,1
Rys RT- 10x,ActinB,,1
Rys RT- 10x,ActinB,,1
Sib cDNA 10x,ActinB,19.65238,1
Sib cDNA 10x,ActinB,19.858456,1
Sib RT- 10x,ActinB,,1
Sib RT- 10x,ActinB,37.002678,1
WT cDNA 10x,ActinB,20.955072,1
WT cDNA 10x,ActinB,20.985573,1
WT RT- 10x,ActinB,,1
WT RT- 10x,ActinB,36.484142,1
NTC,H2B,37.053223,1
Rys cDNA 10x,H2B,19.792124,1
Rys cDNA 10x,H2B,19.78255,1
Rys RT- 10x,H2B,31.928812,1
Rys RT- 10x,H2B,32.55305,1
Sib cDNA 10x,H2B,21.333902,1
Sib cDNA 10x,H2B,21.246061,1
Sib RT- 10x,H2B,32.35701,1
Sib RT- 10x,H2B,32.69037,1
WT cDNA 10x,H2B,23.556429,1
WT cDNA 10x,H2B,23.666452,1
WT RT- 10x,H2B,31.995388,1
WT RT- 10x,H2B,31.954443,1
NTC,H2A,,1
Rys cDNA 10x,H2A,22.90845,1
Rys cDNA 10x,H2A,22.805485,1
Rys RT- 10x,H2A,33.6717,1
Rys RT- 10x,H2A,33.676098,1
Sib cDNA 10x,H2A,23.94716,1
Sib cDNA 10x,H2A,23.977722,1
Sib RT- 10x,H2A,33.309067,1
Sib RT- 10x,H2A,33.991535,1
WT cDNA 10x,H2A,26.144361,1
WT cDNA 10x,H2A,26.906792,1
WT RT- 10x,H2A,34.434956,1
WT RT- 10x,H2A,34.024376,1
NTC,H3,,1
Rys cDNA 10x,H3,20.20386,1
Rys cDNA 10x,H3,20.368681,1
Rys RT- 10x,H3,35.16422,1
Rys RT- 10x,H3,35.64934,1
Sib cDNA 10x,H3,20.886377,1
Sib cDNA 10x,H3,21.013731,1
Sib RT- 10x,H3,34.87341,1
Sib RT- 10x,H3,35.584484,1
WT cDNA 10x,H3,22.543358,1
WT cDNA 10x,H3,22.595259,1
WT RT- 10x,H3,35.848892,1
WT RT- 10x,H3,34.91011,1
NTC,H4,,1
Rys cDNA 10x,H4,22.557804,1
Rys cDNA 10x,H4,22.669277,1
Rys RT- 10x,H4,33.202435,1
Rys RT- 10x,H4,32.83615,1
Sib cDNA 10x,H4,22.85983,1
Sib cDNA 10x,H4,22.847445,1
Sib RT- 10x,H4,33.44015,1
Sib RT- 10x,H4,33.427284,1
WT cDNA 10x,H4,25.205032,1
WT cDNA 10x,H4,24.934227,1
WT RT- 10x,H4,34.289295,1
WT RT- 10x,H4,33.886288,1
NTC,ActinB,,2
Rys cDNA 10x,ActinB,24.052732,2
Rys cDNA 10x,ActinB,24.343752,2
Rys RT- 10x,ActinB,35.80042,2
Rys RT- 10x,ActinB,35.69888,2
Sib cDNA 10x,ActinB,22.981758,2
Sib cDNA 10x,ActinB,22.760717,2
Sib RT- 10x,ActinB,33.720707,2
Sib RT- 10x,ActinB,34.478947,2
WT cDNA 10x,ActinB,23.660378,2
WT cDNA 10x,ActinB,23.916605,2
WT RT- 10x,ActinB,35.918446,2
WT RT- 10x,ActinB,,2
NTC,H2B,,2
Rys cDNA 10x,H2B,25.6745,2
Rys cDNA 10x,H2B,25.652822,2
Rys RT- 10x,H2B,30.80432,2
Rys RT- 10x,H2B,30.537151,2
Sib cDNA 10x,H2B,25.66973,2
Sib cDNA 10x,H2B,25.758585,2
Sib RT- 10x,H2B,29.913977,2
Sib RT- 10x,H2B,29.971876,2
WT cDNA 10x,H2B,27.491516,2
WT cDNA 10x,H2B,27.491308,2
WT RT- 10x,H2B,33.901386,2
WT RT- 10x,H2B,33.800728,2
NTC,H2A,37.06966,2
Rys cDNA 10x,H2A,23.964926,2
Rys cDNA 10x,H2A,23.986189,2
Rys RT- 10x,H2A,27.900875,2
Rys RT- 10x,H2A,27.848465,2
Sib cDNA 10x,H2A,23.94975,2
Sib cDNA 10x,H2A,23.960464,2
Sib RT- 10x,H2A,27.380709,2
Sib RT- 10x,H2A,27.365086,2
WT cDNA 10x,H2A,25.79049,2
WT cDNA 10x,H2A,26.285515,2
WT RT- 10x,H2A,30.904146,2
WT RT- 10x,H2A,31.408379,2
NTC,H3,,2
Rys cDNA 10x,H3,23.861591,2
Rys cDNA 10x,H3,24.384598,2
Rys RT- 10x,H3,30.582792,2
Rys RT- 10x,H3,30.507748,2
Sib cDNA 10x,H3,23.91583,2
Sib cDNA 10x,H3,23.847569,2
Sib RT- 10x,H3,29.957928,2
Sib RT- 10x,H3,29.91838,2
WT cDNA 10x,H3,25.661554,2
WT cDNA 10x,H3,25.494326,2
WT RT- 10x,H3,33.968502,2
WT RT- 10x,H3,34.17171,2
NTC,H4,,2
Rys cDNA 10x,H4,25.72625,2
Rys cDNA 10x,H4,25.957827,2
Rys RT- 10x,H4,28.323576,2
Rys RT- 10x,H4,28.533352,2
Sib cDNA 10x,H4,24.53326,2
Sib cDNA 10x,H4,24.605112,2
Sib RT- 10x,H4,27.666485,2
Sib RT- 10x,H4,27.642647,2
WT cDNA 10x,H4,26.554197,2
WT cDNA 10x,H4,26.434002,2
WT RT- 10x,H4,31.427807,2
WT RT- 10x,H4,31.813108,2
NTC,ActinB,,3
WT RT- 10x,ActinB,35.07488,3
WT RT- 10x,ActinB,36.98837,3
WT cDNA 10x,ActinB,16.371387,3
WT cDNA 10x,ActinB,16.729881,3
Sib RT- 10x,ActinB,,3
Sib RT- 10x,ActinB,34.05889,3
Sib cDNA 10x,ActinB,16.659445,3
Sib cDNA 10x,ActinB,16.68685,3
Rys RT- 10x,ActinB,34.37214,3
Rys RT- 10x,ActinB,34.288593,3
Rys cDNA 10x,ActinB,16.492664,3
Rys cDNA 10x,ActinB,16.113998,3
NTC,H2A,,3
WT RT- 10x,H2A,35.09129,3
WT RT- 10x,H2A,35.120934,3
WT cDNA 10x,H2A,22.97428,3
WT cDNA 10x,H2A,23.562878,3
Sib RT- 10x,H2A,33.439636,3
Sib RT- 10x,H2A,32.908676,3
Sib cDNA 10x,H2A,21.419325,3
Sib cDNA 10x,H2A,21.91955,3
Rys RT- 10x,H2A,33.09807,3
Rys RT- 10x,H2A,33.70939,3
Rys cDNA 10x,H2A,20.295395,3
Rys cDNA 10x,H2A,20.529627,3
NTC,H2B,,3
WT RT- 10x,H2B,35.931107,3
WT RT- 10x,H2B,34.898983,3
WT cDNA 10x,H2B,23.272923,3
WT cDNA 10x,H2B,23.19986,3
Sib RT- 10x,H2B,33.58661,3
Sib RT- 10x,H2B,32.791264,3
Sib cDNA 10x,H2B,21.470596,3
Sib cDNA 10x,H2B,21.510086,3
Rys RT- 10x,H2B,33.64461,3
Rys RT- 10x,H2B,33.921852,3
Rys cDNA 10x,H2B,20.689991,3
Rys cDNA 10x,H2B,21.228285,3
NTC,H3,,3
WT RT- 10x,H3,34.998516,3
WT RT- 10x,H3,35.38333,3
WT cDNA 10x,H3,21.364765,3
WT cDNA 10x,H3,21.577667,3
Sib RT- 10x,H3,33.93481,3
Sib RT- 10x,H3,33.68384,3
Sib cDNA 10x,H3,20.831713,3
Sib cDNA 10x,H3,20.81932,3
Rys RT- 10x,H3,34.070522,3
Rys RT- 10x,H3,34.292057,3
Rys cDNA 10x,H3,19.367216,3
Rys cDNA 10x,H3,19.890821,3
NTC,H4,,3
WT RT- 10x,H4,33.977753,3
WT RT- 10x,H4,35.144478,3
WT cDNA 10x,H4,21.156738,3
WT cDNA 10x,H4,21.511948,3
Sib RT- 10x,H4,32.066837,3
Sib RT- 10x,H4,32.213463,3
Sib cDNA 10x,H4,20.482668,3
Sib cDNA 10x,H4,20.810417,3
Rys RT- 10x,H4,32.91122,3
Rys RT- 10x,H4,33.808243,3
Rys cDNA 10x,H4,19.944902,3
Rys cDNA 10x,H4,19.9759,3
