Sample,Detector,Ct,Plate
WT RT- 10x,H2B,34.966644,3
NTC,H2A,,3
Rys cDNA 10x,H2A,20.612255,3
Rys cDNA 10x,H2A,20.784367,3
Rys RT- 10x,H2A,35.583652,3
Rys RT- 10x,H2A,34.44448,3
Sib cDNA 10x,H2A,20.38106,3
Sib cDNA 10x,H2A,20.398285,3
Sib RT- 10x,H2A,33.357452,3
Sib RT- 10x,H2A,34.041607,3
WT cDNA 10x,H2A,18.333376,3
WT cDNA 10x,H2A,18.906136,3
WT RT- 10x,H2A,33.464226,3
WT RT- 10x,H2A,33.501976,3
NTC,H3,,3
Rys cDNA 10x,H3,18.872232,3
Rys cDNA 10x,H3,18.706854,3
Rys RT- 10x,H3,35.169933,3
Rys RT- 10x,H3,36.416035,3
Sib cDNA 10x,H3,18.795935,3
Sib cDNA 10x,H3,18.925545,3
Sib RT- 10x,H3,34.832096,3
Sib RT- 10x,H3,36.906433,3
WT cDNA 10x,H3,17.006264,3
WT cDNA 10x,H3,17.43286,3
WT RT- 10x,H3,35.73422,3
WT RT- 10x,H3,34.71797,3
NTC,H4,,3
Rys cDNA 10x,H4,21.64084,3
Rys cDNA 10x,H4,21.437866,3
Rys RT- 10x,H4,33.648335,3
Rys RT- 10x,H4,34.238415,3
Sib cDNA 10x,H4,20.480022,3
Sib cDNA 10x,H4,20.226862,3
Sib RT- 10x,H4,33.320324,3
Sib RT- 10x,H4,33.946785,3
WT cDNA 10x,H4,18.023003,3
WT cDNA 10x,H4,17.953016,3
WT RT- 10x,H4,33.042698,3
WT RT- 10x,H4,32.70077,3
